Date,Date,Open,High,Low,Close,Volume,Turnover,Year,Month,Day,WeekOfYear,vol_(t+1),volume_shock,VOL_SHOCK_DIR,price_t+1,price_shock,price_black_swan,PRICE_SHOCK_DIR,BLACK_SWAN_SHOCK_DIR,not_vol_shock,price_shock_w/0_vol_shock
2015-01-01,2015-01-01,2567.0,2567.0,2541.0,2545.55,183415,46743445615000.0,2015,1,1,1,,0,,,0,0,,,1,0
2015-01-02,2015-01-02,2551.0,2590.95,2550.6,2579.45,462870,118874010950000.0,2015,1,2,1,183415.0,1,0.0,2545.55,0,0,,,0,0
2015-01-03,2015-01-02,2551.0,2590.95,2550.6,2579.45,462870,118874010950000.0,2015,1,2,1,462870.0,0,,2579.45,0,0,,,1,0
2015-01-04,2015-01-02,2551.0,2590.95,2550.6,2579.45,462870,118874010950000.0,2015,1,2,1,462870.0,0,,2579.45,0,0,,,1,0
2015-01-05,2015-01-05,2581.0,2599.9,2524.65,2540.25,877121,224888554095000.0,2015,1,5,2,462870.0,1,0.0,2579.45,0,0,,,0,0
2015-01-06,2015-01-06,2529.1,2529.1,2440.0,2446.6,1211892,298961535645000.0,2015,1,6,2,877121.0,1,0.0,2540.25,1,1,1.0,1.0,0,0
2015-01-07,2015-01-07,2470.0,2479.15,2407.45,2417.7,1318166,320836246205000.0,2015,1,7,2,1211892.0,0,,2446.6,0,0,,,1,0
2015-01-08,2015-01-08,2442.4,2449.0,2420.55,2443.8,782704,190573934495000.0,2015,1,8,2,1318166.0,1,1.0,2417.7,0,0,,,0,0
2015-01-09,2015-01-09,2455.0,2519.9,2450.0,2512.3,1598821,398108220610000.0,2015,1,9,2,782704.0,1,0.0,2443.8,1,1,0.0,0.0,0,0
2015-01-10,2015-01-09,2455.0,2519.9,2450.0,2512.3,1598821,398108220610000.0,2015,1,9,2,1598821.0,0,,2512.3,0,0,,,1,0
2015-01-11,2015-01-09,2455.0,2519.9,2450.0,2512.3,1598821,398108220610000.0,2015,1,9,2,1598821.0,0,,2512.3,0,0,,,1,0
2015-01-12,2015-01-12,2517.0,2528.0,2480.25,2509.7,798003,199326599700000.0,2015,1,12,3,1598821.0,1,1.0,2512.3,0,0,,,0,0
2015-01-13,2015-01-13,2520.0,2530.4,2480.1,2497.9,734216,184244037280000.0,2015,1,13,3,798003.0,0,,2509.7,0,0,,,1,0
2015-01-14,2015-01-14,2516.0,2531.8,2500.5,2521.95,893548,224954619585000.0,2015,1,14,3,734216.0,1,0.0,2497.9,0,0,,,0,0
2015-01-15,2015-01-15,2533.0,2581.75,2523.25,2539.1,2504960,639007618510000.0,2015,1,15,3,893548.0,1,0.0,2521.95,0,0,,,0,0
2015-01-16,2015-01-16,2543.7,2545.0,2484.3,2532.15,2646915,664744442100000.0,2015,1,16,3,2504960.0,0,,2539.1,0,0,,,1,0
2015-01-17,2015-01-16,2543.7,2545.0,2484.3,2532.15,2646915,664744442100000.0,2015,1,16,3,2646915.0,0,,2532.15,0,0,,,1,0
2015-01-18,2015-01-16,2543.7,2545.0,2484.3,2532.15,2646915,664744442100000.0,2015,1,16,3,2646915.0,0,,2532.15,0,0,,,1,0
2015-01-19,2015-01-19,2536.0,2551.0,2503.0,2511.0,567537,142795431225000.0,2015,1,19,4,2646915.0,1,1.0,2532.15,0,0,,,0,0
2015-01-20,2015-01-20,2520.0,2530.0,2483.25,2500.45,1029283,257212122080000.03,2015,1,20,4,567537.0,1,0.0,2511.0,0,0,,,0,0
2015-01-21,2015-01-21,2522.0,2522.0,2488.25,2513.8,1155240,289705457555000.0,2015,1,21,4,1029283.0,1,0.0,2500.45,0,0,,,0,0
2015-01-22,2015-01-22,2516.5,2521.25,2495.5,2513.55,1056607,265135460265000.0,2015,1,22,4,1155240.0,0,,2513.8,0,0,,,1,0
2015-01-23,2015-01-23,2514.0,2532.05,2496.1,2503.6,1575190,394952968250000.0,2015,1,23,4,1056607.0,1,0.0,2513.55,0,0,,,0,0
2015-01-24,2015-01-23,2514.0,2532.05,2496.1,2503.6,1575190,394952968250000.0,2015,1,23,4,1575190.0,0,,2503.6,0,0,,,1,0
2015-01-25,2015-01-23,2514.0,2532.05,2496.1,2503.6,1575190,394952968250000.0,2015,1,23,4,1575190.0,0,,2503.6,0,0,,,1,0
2015-01-26,2015-01-23,2514.0,2532.05,2496.1,2503.6,1575190,394952968250000.0,2015,1,23,4,1575190.0,0,,2503.6,0,0,,,1,0
2015-01-27,2015-01-27,2512.35,2515.0,2489.55,2502.05,1369368,342651028760000.0,2015,1,27,5,1575190.0,1,1.0,2503.6,0,0,,,0,0
2015-01-28,2015-01-28,2503.0,2544.9,2502.9,2539.6,1560990,394824002920000.0,2015,1,28,5,1369368.0,1,0.0,2502.05,0,0,,,0,0
2015-01-29,2015-01-29,2538.0,2568.7,2512.9,2544.65,1867196,472751989170000.0,2015,1,29,5,1560990.0,1,0.0,2539.6,0,0,,,0,0
2015-01-30,2015-01-30,2560.7,2575.0,2470.0,2482.05,2908701,725702544890000.0,2015,1,30,5,1867196.0,1,0.0,2544.65,1,1,1.0,1.0,0,0
2015-01-31,2015-01-30,2560.7,2575.0,2470.0,2482.05,2908701,725702544890000.0,2015,1,30,5,2908701.0,0,,2482.05,0,0,,,1,0
2015-02-01,2015-01-30,2560.7,2575.0,2470.0,2482.05,2908701,725702544890000.0,2015,1,30,5,2908701.0,0,,2482.05,0,0,,,1,0
2015-02-02,2015-02-02,2482.0,2521.45,2462.05,2514.2,1590901,397821062750000.0,2015,2,2,6,2908701.0,1,1.0,2482.05,0,0,,,0,0
2015-02-03,2015-02-03,2511.65,2565.0,2507.1,2558.25,1172527,297379337690000.0,2015,2,3,6,1590901.0,1,1.0,2514.2,0,0,,,0,0
2015-02-04,2015-02-04,2568.0,2571.7,2502.1,2514.3,1122709,283268662695000.0,2015,2,4,6,1172527.0,0,,2558.25,0,0,,,1,0
2015-02-05,2015-02-05,2520.0,2591.7,2519.0,2552.4,2265084,579438634615000.0,2015,2,5,6,1122709.0,1,0.0,2514.3,0,0,,,0,0
2015-02-06,2015-02-06,2553.0,2594.8,2550.85,2575.75,1068208,275426472850000.0,2015,2,6,6,2265084.0,1,1.0,2552.4,0,0,,,0,0
2015-02-07,2015-02-06,2553.0,2594.8,2550.85,2575.75,1068208,275426472850000.0,2015,2,6,6,1068208.0,0,,2575.75,0,0,,,1,0
2015-02-08,2015-02-06,2553.0,2594.8,2550.85,2575.75,1068208,275426472850000.0,2015,2,6,6,1068208.0,0,,2575.75,0,0,,,1,0
2015-02-09,2015-02-09,2561.5,2569.1,2500.0,2512.9,1038216,262858506450000.0,2015,2,9,7,1068208.0,0,,2575.75,1,1,1.0,1.0,1,1
2015-02-10,2015-02-10,2510.0,2526.25,2433.0,2441.15,1899527,469920109095000.0,2015,2,10,7,1038216.0,1,0.0,2512.9,1,1,1.0,1.0,0,0
